Feature,RF_Importance
item_50912_last,0.031900337923769236
item_51265_min,0.030488282516651255
item_50868_last,0.025780301056975752
item_50970_max,0.02423319006694361
item_50893_min,0.02406515258537475
item_51006_max,0.022943865487504045
item_51006_last,0.020089850445965084
item_50912_min,0.019171269023871777
item_50970_last,0.018536315755630892
item_51265_last,0.017684412899963278
item_50868_mean,0.01693791961297194
item_50970_mean,0.01678403461925614
item_50971_max,0.016345057890800287
item_51221_max,0.01625640857285548
item_50868_pct_abnormal,0.015632301670220124
item_50912_mean,0.015169231503731952
item_50893_std,0.01500545019612414
item_51265_mean,0.014690406020752556
item_50971_mean,0.014396436033249438
item_50912_std,0.013431340486007975
