Feature,Correlation
item_50868_mean,0.410790731060802
item_51006_last,0.4051960779429108
item_50868_max,0.39672088237981484
item_50868_last,0.38413927456030483
item_50970_max,0.3823048472841493
item_50970_mean,0.38174606866342553
item_51006_max,0.37765260694950537
item_50970_last,0.37357271958001054
item_51222_count,0.37034685165544684
item_50868_pct_abnormal,0.3641754171971257
item_51301_count,0.36333066502094447
item_51221_count,0.3486666067417267
item_51265_count,0.3473561409860034
item_51279_count,0.3451415140079202
item_51249_count,0.3451415140079202
item_51250_count,0.3451415140079202
item_51248_count,0.3451415140079202
item_51277_count,0.3431103876022181
item_51006_mean,0.32548421989732274
item_51006_std,0.3201861677762132
