Feature,AUC
item_51222_count,0.8346354166666667
item_51301_count,0.8128255208333334
item_51277_count,0.8121744791666667
item_51279_count,0.8121744791666667
item_51249_count,0.8121744791666667
item_51250_count,0.8121744791666667
item_51248_count,0.8121744791666667
item_51006_last,0.8118489583333333
item_50868_max,0.8118489583333333
item_50868_mean,0.80859375
item_51265_count,0.80859375
item_50882_count,0.8082682291666666
item_51006_count,0.8079427083333334
item_50868_count,0.8076171875
item_50912_count,0.8069661458333334
item_50960_count,0.8030598958333334
item_51221_count,0.802734375
item_50970_count,0.798828125
item_50868_last,0.7975260416666666
item_50893_count,0.7965494791666667
