model,train_auc,test_auc,train_auprc,test_auprc,test_brier,overfitting,best_params,cv_auc_mean,cv_auc_std,cv_auprc_mean,cv_auprc_std
Logistic Regression,0.8323412698412698,0.8538461538461538,0.4857060357060357,0.42658730158730157,0.053727777132120284,-0.02150488400488404,"{'C': 0.001, 'class_weight': None, 'max_iter': 1000}",0.7512820512820513,0.13792631597723928,0.4533333333333333,0.24115462996914563
LightGBM,0.9672619047619048,0.8153846153846154,0.7083333333333333,0.36700581395348836,0.050325184279985044,0.1518772893772894,"{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 31}",0.5894230769230768,0.20283777358559818,0.26880452880452876,0.11867834210313644
Random Forest,0.9990079365079365,0.7961538461538462,0.9861111111111112,0.5120748299319728,0.051061026342403594,0.2028540903540903,"{'class_weight': 'balanced', 'max_depth': 10, 'min_samples_split': 10, 'n_estimators': 200}",0.8115384615384617,0.11023777421512702,0.4119047619047619,0.12945025922922082
XGBoost,0.9990079365079365,0.7576923076923078,0.9861111111111112,0.5086158192090395,0.0448576845228672,0.24131562881562874,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 200}",0.6698717948717949,0.1727917879194107,0.32055555555555554,0.11306067419480001
